Date,EnergyConsumption
18/12/2017, 3.073 
19/12/2017, 3.084 
20/12/2017, 3.096 
21/12/2017, 3.081 
22/12/2017, 3.086 
23/12/2017, 3.019 
24/12/2017, 2.814 
25/12/2017, 2.808 
26/12/2017, 3.070 
27/12/2017, 3.243 
28/12/2017, 3.184 
29/12/2017, 3.177 
30/12/2017, 3.037 
31/12/2017, 2.754 
01/01/2018, 2.633 
02/01/2018, 3.082 
03/01/2018, 3.188 
04/01/2018, 3.186 
05/01/2018, 3.137 
06/01/2018, 3.025 
07/01/2018, 2.824 
08/01/2018, 3.113 
09/01/2018, 3.184 
10/01/2018, 3.188 
11/01/2018, 3.166 
12/01/2018, 3.153 
13/01/2018, 3.048 
14/01/2018, 2.818 
15/01/2018, 3.091 
16/01/2018, 3.150 
17/01/2018, 3.155 
18/01/2018, 3.165 
19/01/2018, 3.109 
20/01/2018, 2.974 
21/01/2018, 2.782 
22/01/2018, 3.078 
23/01/2018, 3.130 
24/01/2018, 3.155 
25/01/2018, 3.126 
26/01/2018, 3.111 
27/01/2018, 3.023 
28/01/2018, 2.809 
29/01/2018, 3.116 
30/01/2018, 3.165 
31/01/2018, 3.178 
01/02/2018, 3.179 
02/02/2018, 3.130 
03/02/2018, 2.988 
04/02/2018, 2.802 
05/02/2018, 3.081 
06/02/2018, 3.128 
07/02/2018, 3.182 
08/02/2018, 3.174 
09/02/2018, 3.138 
10/02/2018, 3.063 
11/02/2018, 2.878 
12/02/2018, 3.131 
13/02/2018, 3.219 
14/02/2018, 3.184 
15/02/2018, 3.172 
16/02/2018, 2.829 
17/02/2018, 2.932 
18/02/2018, 2.862 
19/02/2018, 3.177 
20/02/2018, 3.214 
21/02/2018, 3.233 
22/02/2018, 3.215 
23/02/2018, 3.196 
24/02/2018, 3.059 
25/02/2018, 2.869 
26/02/2018, 3.127 
27/02/2018, 3.231 
28/02/2018, 3.280 
01/03/2018, 3.260 
02/03/2018, 3.260 
03/03/2018, 3.143 
04/03/2018, 2.959 
05/03/2018, 3.231 
06/03/2018, 3.267 
07/03/2018, 3.257 
08/03/2018, 3.212 
09/03/2018, 3.247 
10/03/2018, 3.166 
11/03/2018, 2.943 
12/03/2018, 3.235 
13/03/2018, 3.261 
14/03/2018, 3.305 
15/03/2018, 3.331 
16/03/2018, 3.318 
17/03/2018, 2.922 
18/03/2018, 2.886 
19/03/2018, 3.229 
20/03/2018, 3.333 
21/03/2018, 3.334 
22/03/2018, 3.270 
23/03/2018, 3.296 
24/03/2018, 3.172 
25/03/2018, 2.902 
26/03/2018, 3.233 
27/03/2018, 3.270 
28/03/2018, 3.284 
29/03/2018, 3.295 
30/03/2018, 3.048 
31/03/2018, 3.097 
01/04/2018, 2.963 
02/04/2018, 3.273 
